block	area	min_x	min_y	max_x	max_y
minecraft:coarse_dirt	9	29	22	33	25
minecraft:dirt	1	8	23	8	23
minecraft:dirt	1	12	23	12	23
minecraft:coarse_dirt	1	13	23	13	23
minecraft:dirt_path	5	11	23	14	24
minecraft:andesite	1	19	23	19	23
minecraft:dirt	1	60	23	60	23
minecraft:coarse_dirt	3	25	24	26	25
minecraft:andesite	5	61	24	62	26
minecraft:dirt_path	1	27	25	27	25
minecraft:coarse_dirt	5	34	25	35	27
minecraft:grass_block	8	59	25	61	28
minecraft:dirt_path	3	11	26	13	26
minecraft:coarse_dirt	1	15	26	15	26
minecraft:coarse_dirt	3	37	26	39	26
minecraft:andesite	42	58	26	62	39
minecraft:dirt	1	15	27	15	27
minecraft:coarse_dirt	1	16	27	16	27
minecraft:dirt_path	6	17	27	20	28
minecraft:andesite	1	26	27	26	27
minecraft:coarse_dirt	2	42	27	43	27
minecraft:andesite	1	61	27	61	27
minecraft:grass_block	1	62	27	62	27
minecraft:dirt	20	16	28	23	34
minecraft:coarse_dirt	12	17	28	23	32
minecraft:dirt_path	5	21	28	23	30
minecraft:mossy_cobblestone	1	30	28	30	28
minecraft:coarse_dirt	4	37	28	40	28
minecraft:coarse_dirt	5	45	28	46	30
minecraft:coarse_dirt	1	62	28	62	28
minecraft:coarse_dirt	4	41	29	44	29
minecraft:dirt	1	45	29	45	29
minecraft:grass_block	3	48	29	49	30
minecraft:coarse_dirt	1	51	29	51	29
minecraft:dirt	12	51	29	57	31
minecraft:dirt	1	58	29	58	29
minecraft:farmland	8	36	30	41	32
minecraft:dirt	1	49	30	49	30
minecraft:grass_block	1	50	30	50	30
minecraft:andesite	1	58	30	58	30
minecraft:coarse_dirt	6	57	30	60	32
minecraft:dirt	2	13	31	14	31
minecraft:mossy_cobblestone	1	28	31	28	31
minecraft:coarse_dirt	1	41	31	41	31
minecraft:sea_pickle	1	42	31	42	31
minecraft:coarse_dirt	1	43	31	43	31
minecraft:grass_block	1	49	31	49	31
minecraft:coarse_dirt	1	50	31	50	31
minecraft:dirt_path	11	49	31	56	33
minecraft:coarse_dirt	3	20	32	21	33
minecraft:andesite	1	34	32	34	32
minecraft:coarse_dirt	1	42	32	42	32
minecraft:sea_pickle	1	43	32	43	32
minecraft:coarse_dirt	3	44	32	46	32
minecraft:dirt	1	59	32	59	32
minecraft:coarse_dirt	1	24	33	24	33
minecraft:sugar_cane	1	46	33	46	33
minecraft:coarse_dirt	2	47	33	48	33
minecraft:coarse_dirt	2	23	34	23	35
minecraft:dirt	2	24	34	24	35
minecraft:coarse_dirt	2	25	34	25	35
minecraft:sea_pickle	1	42	34	42	34
minecraft:sea_pickle	1	44	34	44	34
minecraft:lily_pad	1	47	34	47	34
minecraft:coarse_dirt	2	28	35	29	35
minecraft:andesite	2	39	35	40	35
minecraft:sea_pickle	1	43	35	43	35
minecraft:lily_pad	1	44	35	44	35
minecraft:horn_coral_fan	1	46	35	46	35
minecraft:dirt_path	1	61	35	61	35
minecraft:grass_block	1	62	35	62	35
minecraft:coarse_dirt	1	27	36	27	36
minecraft:dirt	2	28	36	29	36
minecraft:coarse_dirt	1	30	36	30	36
minecraft:coarse_dirt	5	33	36	36	37
minecraft:mossy_cobblestone	1	41	36	41	36
minecraft:lily_pad	1	45	36	45	36
minecraft:mossy_cobblestone	1	51	36	51	36
minecraft:dirt	1	27	37	27	37
minecraft:coarse_dirt	2	28	37	29	37
minecraft:dirt	3	29	37	30	38
minecraft:coarse_dirt	3	31	37	32	38
minecraft:dirt	1	33	37	33	37
minecraft:dirt	1	32	38	32	38
minecraft:coarse_dirt	18	32	38	43	43
minecraft:dirt	30	34	38	54	43
minecraft:coarse_dirt	2	37	38	38	38
minecraft:sugar_cane	2	39	38	40	38
minecraft:coarse_dirt	3	41	38	42	39
minecraft:dirt	1	31	39	31	39
minecraft:sugar_cane	1	43	39	43	39
minecraft:coarse_dirt	2	58	39	59	39
minecraft:dirt_path	2	60	39	61	39
minecraft:dirt	2	33	40	34	40
minecraft:coarse_dirt	1	43	40	43	40
minecraft:dirt_path	2	44	40	45	40
minecraft:dirt_path	16	46	40	57	42
minecraft:dirt	8	57	40	61	41
minecraft:coarse_dirt	1	60	40	60	40
minecraft:grass_block	1	62	40	62	40
minecraft:dirt	2	35	41	36	41
minecraft:coarse_dirt	38	44	41	62	48
minecraft:oak_wood	1	1	42	1	42
minecraft:podzol	2	7	42	8	42
minecraft:coarse_dirt	4	8	42	9	44
minecraft:dirt	2	38	42	39	42
minecraft:dirt	1	55	42	55	42
minecraft:oak_wood	1	2	43	2	43
minecraft:coarse_dirt	2	4	43	4	44
minecraft:podzol	4	5	43	6	44
minecraft:dark_oak_log	5	6	43	8	45
minecraft:podzol	2	10	43	10	44
minecraft:dirt	10	57	43	62	45
minecraft:oak_wood	1	1	44	1	44
minecraft:podzol	4	3	44	4	46
minecraft:podzol	1	8	44	8	44
minecraft:dirt	3	40	44	42	44
minecraft:dirt	4	45	44	48	44
minecraft:coarse_dirt	1	5	45	5	45
minecraft:podzol	3	8	45	9	46
minecraft:coarse_dirt	1	10	45	10	45
minecraft:dirt	2	51	45	52	45
minecraft:dirt	1	57	45	57	45
minecraft:coarse_dirt	1	4	46	4	46
minecraft:podzol	4	4	46	6	47
minecraft:coarse_dirt	2	6	46	7	46
minecraft:andesite	3	59	46	60	47
minecraft:podzol	4	17	47	18	49
minecraft:coarse_dirt	2	19	47	20	47
minecraft:coarse_dirt	5	55	47	57	49
minecraft:dirt	1	56	47	56	47
minecraft:dark_oak_log	1	19	48	19	48
minecraft:podzol	4	19	48	21	49
minecraft:dirt	1	57	48	57	48
minecraft:coarse_dirt	1	18	49	18	49
minecraft:coarse_dirt	1	21	49	21	49
minecraft:dark_oak_log	1	36	49	36	49
minecraft:dirt	2	58	49	59	49
minecraft:dirt	1	62	49	62	49
