x	y	highest_wet_cell_z	water_blocks	waterlogged_blocks	terrain_support_top	upper_water_cell_minus_support	support_name
32	30	7	1	1	6.500	1.500	minecraft:granite_slab
33	30	6	0	1	6.500	0.500	minecraft:granite_slab
34	30	6	0	1	7.000	0.000	minecraft:granite_stairs
35	30	6	0	1	7.000	0.000	minecraft:granite_stairs
61	30	6	1	0	6.000	1.000	minecraft:andesite
62	30	6	1	0	6.000	1.000	minecraft:andesite
25	31	7	1	0	7.000	1.000	minecraft:dirt
26	31	7	1	0	7.000	1.000	minecraft:dirt
27	31	7	1	1	7.000	1.000	minecraft:granite_stairs
29	31	7	1	1	6.500	1.500	minecraft:granite_slab
30	31	7	1	1	6.500	1.500	minecraft:granite_slab
31	31	7	1	1	6.500	1.500	minecraft:granite_slab
32	31	6	1	0	6.000	1.000	minecraft:dirt
33	31	6	1	0	6.000	1.000	minecraft:dirt
34	31	6	1	0	6.000	1.000	minecraft:dirt
35	31	6	0	1	6.500	0.500	minecraft:granite_slab
36	31	6	0	1	6.500	0.500	minecraft:granite_slab
37	31	6	0	1	6.500	0.500	minecraft:granite_slab
38	31	6	0	1	6.500	0.500	minecraft:granite_slab
60	31	6	1	0	6.000	1.000	minecraft:andesite
61	31	6	1	0	6.000	1.000	minecraft:andesite
62	31	6	1	0	6.000	1.000	minecraft:andesite
27	32	7	1	0	7.000	1.000	minecraft:dirt
28	32	7	1	0	7.000	1.000	minecraft:dirt
29	32	7	1	1	6.500	1.500	minecraft:granite_slab
30	32	7	1	1	6.500	1.500	minecraft:granite_slab
33	32	6	1	0	6.000	1.000	minecraft:dirt
34	32	6	1	0	6.000	1.000	minecraft:andesite
35	32	6	1	0	6.000	1.000	minecraft:dirt
36	32	6	1	0	6.000	1.000	minecraft:dirt
37	32	6	1	0	6.000	1.000	minecraft:dirt
38	32	6	0	1	6.500	0.500	minecraft:granite_slab
39	32	6	0	1	6.500	0.500	minecraft:granite_slab
52	32	6	0	1	6.500	0.500	minecraft:granite_slab
53	32	6	0	1	6.500	0.500	minecraft:granite_slab
54	32	6	0	1	6.500	0.500	minecraft:granite_slab
59	32	6	0	1	7.000	0.000	minecraft:granite_stairs
60	32	6	1	0	6.000	1.000	minecraft:andesite
61	32	6	1	0	6.000	1.000	minecraft:andesite
62	32	6	1	0	6.000	1.000	minecraft:andesite
28	33	7	1	0	7.000	1.000	minecraft:dirt
29	33	7	1	1	7.000	1.000	minecraft:granite_stairs
30	33	6	0	1	6.500	0.500	minecraft:granite_slab
31	33	6	0	1	6.500	0.500	minecraft:granite_slab
34	33	6	1	0	6.000	1.000	minecraft:dirt
35	33	6	1	0	6.000	1.000	minecraft:dirt
36	33	6	1	0	6.000	1.000	minecraft:dirt
38	33	6	1	0	6.000	1.000	minecraft:dirt
39	33	6	0	1	6.500	0.500	minecraft:granite_slab
40	33	6	0	1	6.500	0.500	minecraft:granite_slab
41	33	6	0	1	6.500	0.500	minecraft:granite_slab
42	33	6	0	1	6.500	0.500	minecraft:granite_slab
43	33	6	0	1	6.500	0.500	minecraft:granite_slab
44	33	6	0	1	6.500	0.500	minecraft:granite_slab
45	33	6	0	1	6.500	0.500	minecraft:granite_slab
51	33	6	0	1	6.500	0.500	minecraft:granite_slab
52	33	6	0	1	6.500	0.500	minecraft:granite_slab
53	33	6	1	0	6.000	1.000	minecraft:dirt
54	33	6	0	1	6.500	0.500	minecraft:granite_slab
55	33	6	0	1	6.500	0.500	minecraft:granite_slab
56	33	6	0	1	6.500	0.500	minecraft:granite_slab
57	33	6	0	1	6.500	0.500	minecraft:granite_slab
58	33	6	0	1	7.000	0.000	minecraft:granite_stairs
59	33	6	0	1	6.500	0.500	minecraft:granite_slab
60	33	6	1	0	6.000	1.000	minecraft:andesite
61	33	6	1	0	6.000	1.000	minecraft:andesite
62	33	6	1	0	6.000	1.000	minecraft:andesite
31	34	6	0	1	7.000	0.000	minecraft:granite_stairs
32	34	6	0	1	7.000	0.000	minecraft:granite_stairs
33	34	6	0	1	6.500	0.500	minecraft:granite_slab
34	34	6	1	0	6.000	1.000	minecraft:dirt
36	34	6	1	0	6.000	1.000	minecraft:dirt
39	34	6	1	0	6.000	1.000	minecraft:dirt
40	34	6	1	0	6.000	1.000	minecraft:dirt
42	34	6	0	1	6.000	1.000	minecraft:dirt
44	34	6	0	1	6.000	1.000	minecraft:dirt
45	34	6	0	1	6.500	0.500	minecraft:granite_slab
46	34	6	0	1	6.500	0.500	minecraft:granite_slab
47	34	6	0	1	7.000	0.000	minecraft:granite_stairs
48	34	6	0	1	7.000	0.000	minecraft:granite_stairs
49	34	6	0	1	6.500	0.500	minecraft:granite_slab
50	34	6	0	1	6.500	0.500	minecraft:granite_slab
51	34	6	0	1	6.500	0.500	minecraft:granite_slab
52	34	6	1	0	6.000	1.000	minecraft:dirt
53	34	6	1	0	6.000	1.000	minecraft:dirt
54	34	6	1	0	6.000	1.000	minecraft:dirt
55	34	6	1	0	6.000	1.000	minecraft:dirt
56	34	6	1	0	6.000	1.000	minecraft:dirt
57	34	6	1	0	6.000	1.000	minecraft:dirt
58	34	6	1	0	6.000	1.000	minecraft:dirt
59	34	6	1	0	6.000	1.000	minecraft:andesite
60	34	6	1	0	6.000	1.000	minecraft:andesite
61	34	6	1	0	6.000	1.000	minecraft:andesite
33	35	6	0	1	7.000	0.000	minecraft:granite_stairs
34	35	6	0	1	7.000	0.000	minecraft:granite_stairs
35	35	6	1	0	6.000	1.000	minecraft:dirt
36	35	6	1	0	6.000	1.000	minecraft:dirt
37	35	6	1	0	6.000	1.000	minecraft:dirt
38	35	6	1	0	6.000	1.000	minecraft:dirt
39	35	6	1	0	6.000	1.000	minecraft:andesite
40	35	6	1	0	6.000	1.000	minecraft:andesite
41	35	6	1	0	6.000	1.000	minecraft:dirt
43	35	6	0	1	6.000	1.000	minecraft:dirt
44	35	6	1	0	6.000	1.000	minecraft:dirt
47	35	6	0	1	6.500	0.500	minecraft:granite_slab
48	35	6	0	1	6.500	0.500	minecraft:granite_slab
49	35	6	0	1	6.500	0.500	minecraft:granite_slab
50	35	6	1	0	6.000	1.000	minecraft:dirt
51	35	6	1	0	6.000	1.000	minecraft:dirt
52	35	6	1	0	6.000	1.000	minecraft:dirt
53	35	6	1	0	6.000	1.000	minecraft:dirt
54	35	6	1	0	6.000	1.000	minecraft:dirt
55	35	6	1	0	6.000	1.000	minecraft:dirt
56	35	6	1	0	6.000	1.000	minecraft:dirt
57	35	6	1	0	6.000	1.000	minecraft:dirt
58	35	6	1	0	6.000	1.000	minecraft:dirt
59	35	6	1	0	6.000	1.000	minecraft:andesite
60	35	6	1	0	6.000	1.000	minecraft:andesite
35	36	6	0	1	7.000	0.000	minecraft:granite_stairs
36	36	6	0	1	7.000	0.000	minecraft:granite_stairs
37	36	6	0	1	6.500	0.500	minecraft:granite_slab
38	36	6	1	0	6.000	1.000	minecraft:dirt
39	36	6	1	0	6.000	1.000	minecraft:dirt
40	36	6	1	0	6.000	1.000	minecraft:dirt
41	36	6	1	0	6.000	1.000	minecraft:mossy_cobblestone
42	36	6	1	0	6.000	1.000	minecraft:dirt
45	36	6	1	0	6.000	1.000	minecraft:dirt
46	36	6	1	0	6.000	1.000	minecraft:dirt
47	36	6	1	0	6.000	1.000	minecraft:dirt
48	36	6	1	0	6.000	1.000	minecraft:dirt
49	36	6	1	0	6.000	1.000	minecraft:dirt
50	36	6	1	0	6.000	1.000	minecraft:dirt
51	36	6	1	0	6.000	1.000	minecraft:mossy_cobblestone
52	36	6	1	0	6.000	1.000	minecraft:dirt
53	36	6	1	0	6.000	1.000	minecraft:dirt
54	36	6	0	1	6.000	1.000	minecraft:dirt
55	36	6	1	0	6.000	1.000	minecraft:dirt
56	36	6	1	0	6.000	1.000	minecraft:dirt
57	36	6	1	0	6.000	1.000	minecraft:dirt
58	36	6	1	0	6.000	1.000	minecraft:andesite
59	36	6	1	0	6.000	1.000	minecraft:andesite
60	36	6	1	0	6.000	1.000	minecraft:andesite
61	36	6	1	0	6.000	1.000	minecraft:andesite
62	36	6	1	0	6.000	1.000	minecraft:andesite
37	37	6	0	1	7.000	0.000	minecraft:granite_stairs
38	37	6	0	1	7.000	0.000	minecraft:granite_stairs
39	37	6	0	1	7.000	0.000	minecraft:granite_stairs
40	37	6	0	1	6.500	0.500	minecraft:granite_slab
41	37	6	0	1	6.500	0.500	minecraft:granite_slab
42	37	6	0	1	6.500	0.500	minecraft:granite_slab
43	37	6	1	0	6.000	1.000	minecraft:dirt
44	37	6	1	0	6.000	1.000	minecraft:dirt
45	37	6	1	0	6.000	1.000	minecraft:dirt
46	37	6	1	0	6.000	1.000	minecraft:dirt
47	37	6	1	0	6.000	1.000	minecraft:dirt
48	37	6	1	0	6.000	1.000	minecraft:dirt
49	37	6	1	0	6.000	1.000	minecraft:dirt
50	37	6	1	0	6.000	1.000	minecraft:dirt
51	37	6	1	0	6.000	1.000	minecraft:dirt
52	37	6	1	0	6.000	1.000	minecraft:dirt
53	37	6	1	0	6.000	1.000	minecraft:dirt
54	37	6	1	0	6.000	1.000	minecraft:dirt
55	37	6	1	0	6.000	1.000	minecraft:dirt
56	37	6	1	0	6.000	1.000	minecraft:dirt
57	37	6	1	0	6.000	1.000	minecraft:dirt
58	37	6	1	0	6.000	1.000	minecraft:andesite
59	37	6	1	0	6.000	1.000	minecraft:andesite
60	37	6	1	0	6.000	1.000	minecraft:andesite
61	37	6	1	0	6.000	1.000	minecraft:andesite
62	37	6	1	0	6.000	1.000	minecraft:andesite
42	38	6	0	1	6.500	0.500	minecraft:granite_slab
43	38	6	0	1	6.500	0.500	minecraft:granite_slab
44	38	6	0	1	6.500	0.500	minecraft:granite_slab
45	38	6	0	1	6.500	0.500	minecraft:granite_slab
46	38	6	0	1	6.500	0.500	minecraft:granite_slab
47	38	6	1	0	6.000	1.000	minecraft:dirt
48	38	6	1	0	6.000	1.000	minecraft:dirt
49	38	6	1	0	6.000	1.000	minecraft:dirt
50	38	6	1	0	6.000	1.000	minecraft:dirt
51	38	6	1	0	6.000	1.000	minecraft:dirt
52	38	6	1	0	6.000	1.000	minecraft:dirt
53	38	6	1	0	6.000	1.000	minecraft:dirt
54	38	6	1	0	6.000	1.000	minecraft:dirt
55	38	6	1	0	6.000	1.000	minecraft:dirt
56	38	6	0	1	6.500	0.500	minecraft:granite_slab
57	38	6	0	1	7.000	0.000	minecraft:granite_stairs
58	38	6	0	1	7.000	0.000	minecraft:granite_stairs
59	38	6	1	0	6.000	1.000	minecraft:andesite
60	38	6	1	0	6.000	1.000	minecraft:andesite
61	38	6	1	0	6.000	1.000	minecraft:andesite
44	39	6	0	1	6.500	0.500	minecraft:granite_slab
45	39	6	0	1	6.500	0.500	minecraft:granite_slab
46	39	6	0	1	6.500	0.500	minecraft:granite_slab
47	39	6	0	1	6.500	0.500	minecraft:granite_slab
48	39	6	0	1	6.500	0.500	minecraft:granite_slab
49	39	6	1	0	6.000	1.000	minecraft:dirt
50	39	6	1	0	6.000	1.000	minecraft:dirt
51	39	6	1	0	6.000	1.000	minecraft:dirt
52	39	6	1	0	6.000	1.000	minecraft:dirt
53	39	6	0	1	6.500	0.500	minecraft:granite_slab
54	39	6	0	1	6.500	0.500	minecraft:granite_slab
55	39	6	0	1	6.500	0.500	minecraft:granite_slab
56	39	6	0	1	6.500	0.500	minecraft:granite_slab
57	39	6	0	1	7.000	0.000	minecraft:granite_stairs
46	40	6	0	1	6.500	0.500	minecraft:granite_slab
47	40	6	0	1	6.500	0.500	minecraft:granite_slab
48	40	6	0	1	6.500	0.500	minecraft:granite_slab
49	40	6	0	1	6.500	0.500	minecraft:granite_slab
50	40	6	0	1	6.500	0.500	minecraft:granite_slab
51	40	6	0	1	6.500	0.500	minecraft:granite_slab
52	40	6	0	1	6.500	0.500	minecraft:granite_slab
53	40	6	0	1	6.500	0.500	minecraft:granite_slab
54	40	6	0	1	6.500	0.500	minecraft:granite_slab
55	40	6	0	1	6.500	0.500	minecraft:granite_slab
